,Title,Lifetime Gross,Rating,Sequel
0,The Bourne Legacy,113.20387,55,Yes
1,The Bourne Ultimatum,227.47107,93,Yes
2,The Bourne Supremacy,176.241941,81,Yes
3,The Bourne Identity,121.661683,83,No
4,Batman Begins,206.852432,85,No
5,The Dark Knight Rises,448.139099,87,Yes
6,The Dark Knight,534.858444,94,Yes
7,Green Zone,35.05366,53,No
8,The Hunger Games: Mockingjay - Part 1,337.135885,65,Yes
9,The Hunger Games: Catching Fire,424.668047,89,Yes
10,The Hunger Games,408.010692,84,No
11,Avengers: Age of Ultron,459.005868,74,Yes
12,Marvel's The Avengers,623.35791,92,No
14,Silver Linings Playbook,132.092958,92,No
15,Elysium,93.050117,68,No
17,American Hustle,150.117807,93,No
18,The Descendants,82.58416,89,No
19,The Divergent Series: Insurgent,130.179072,30,Yes
20,Divergent,150.947895,40,No
21,Guardians of the Galaxy,333.1766,91,No
22,Interstellar,188.020017,71,No
24,Jurassic World,651.771446,71,Yes
25,The Martian,182.806753,93,No
26,The Lord of the Rings: The Return of the King,377.845905,95,Yes
27,The Lord of the Rings: The Two Towers,342.551365,96,Yes
28,The Lord of the Rings: The Fellowship of the Ring,315.54475,91,No
30,The Hobbit: The Battle of the Five Armies,255.119788,60,Yes
31,The Hobbit: The Desolation of Smaug,258.366855,74,Yes
32,The Hobbit: An Unexpected Journey,303.003568,64,Yes
33,Harry Potter and the Deathly Hallows Part 2,381.011219,96,Yes
34,Harry Potter and the Deathly Hallows Part 1,295.983305,78,Yes
35,Harry Potter and the Half-Blood Prince,301.959197,84,Yes
36,Harry Potter and the Order of the Phoenix,292.004738,79,Yes
37,Harry Potter and the Goblet of Fire,290.013036,88,Yes
38,Harry Potter and the Prisoner of Azkaban,249.541069,91,Yes
39,Harry Potter and the Chamber of Secrets,261.988482,82,Yes
40,Harry Potter and the Sorcerer's Stone,317.57555,80,No
41,The Twilight Saga: Breaking Dawn Part 2,292.324737,48,Yes
42,The Twilight Saga: Breaking Dawn Part 1,281.287133,24,Yes
43,The Twilight Saga: Eclipse,300.531751,49,Yes
45,The Twilight Saga: New Moon,296.623634,28,Yes
46,Twilight,192.769854,48,No
52,Transformers: Age of Extinction,245.439076,18,Yes
53,Transformers: Dark of the Moon,352.390543,35,Yes
54,Transformers: Revenge of the Fallen,402.11187,19,Yes
55,Transformers,319.246193,57,No
58,Mad Max: Fury Road,153.636354,97,Yes
59,Mad Max Beyond Thunderdome,36.230219,81,Yes
61,Saving Private Ryan,216.540909,92,No
62,Toy Story 3,415.00488,99,Yes
64,Toy Story 2,245.852179,100,Yes
65,Toy Story,191.796233,100,No
66,Finding Nemo,380.843261,99,No
67,WALL-E,223.808164,96,No
68,The Incredibles,261.441092,97,No
